source,target,weight
UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,1
UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,1
UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,2
UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,1
UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,1
UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,1
UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,1
UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,1
UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,1
UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,1
UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,1
UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,1
UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,1
UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,1
UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,1
UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,1
UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,1
UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,1
UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,1
UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,1
UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,1
UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,1
UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,1
UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,1
UC3UVO7pTbeYvZ3ILEyRDskQ,j43HgwYFKfk,1
UC3XTwHxygNCgjndsg-UiCQA,n8iP75gIpmw,3
UC3YpzAr7pcdKC7BVFEpYzog,6W4u8sGEnGM,1
UC3iIU62XKUOWuqL8BqBzj9A,b_Hkrkl3adA,1
UC3qn1yJA5PeW9rkGPatQxiw,n8iP75gIpmw,1
UC4Avya4kmR4Q0FrfFdBozSQ,j43HgwYFKfk,1
UC4cXueR2bKGFJV0Fk76gwmA,n8iP75gIpmw,1
UC4kg7zuTfqQKLd2bkZrSYBA,is3Mk5oC19g,1
UC4wq3DcbfaG6dtCqn8Oyu3w,n8iP75gIpmw,1
UC5H8ASmMC9WrURmzeB4ySog,n8iP75gIpmw,5
UC5PrBbmUlQolwqmiru7yZhw,b_Hkrkl3adA,1
UC5PyGvSfFM--OVKmQ3COu6g,lj983NWyAQY,1
UC5bG9nc_JV3FsNP2KseQiYw,n8iP75gIpmw,1
UC5fvhAfm89JH8eDFdvc0xYw,lj983NWyAQY,1
UC5hvEnRUzI4Kfvwnyi4QxqQ,j43HgwYFKfk,1
UC5wuDq3U3vRAhOQI3D7gNdw,ndAZjHqzzT8,1
UC63tFvbQ_hJhGDi2nbjssjw,6W4u8sGEnGM,1
UC650pRT-OYzny3GwOH8Cgfw,n8iP75gIpmw,1
UC6PvO1_k5lHKGdAPo5_C6TA,n8iP75gIpmw,1
UC6Uj1FT5JjDSF8vudvDxPAA,j43HgwYFKfk,1
UC6YSZqL0vEcI-niPKIMUGfw,n8iP75gIpmw,1
UC6xI_MOaxajIWpoP8BH6E_Q,s0eco-BofOs,1
UC72gBAtyb_VXQlYDcFrh6oQ,n8iP75gIpmw,3
UC7IMsCxfZyWN7YQo8-JYa6Q,PjmxCj-a9Hg,2
UC7VUuJr9cGh845CmTvf7TlQ,n8iP75gIpmw,1
UC7dadZG7kkGYnsNu6td0FbA,j43HgwYFKfk,1
UC816IGbFCZinfYS1LRDaaHg,j43HgwYFKfk,1
UC8F2V63KZ4ZEay6opX2hAQw,n8iP75gIpmw,1
UC8G5cJONY8L9voMyBW8Eoug,n8iP75gIpmw,1
UC8r11yOugM2NuRfitQOxLLg,n8iP75gIpmw,1
UC8xlJWNHz1V_W6q3fbuQH8g,PjmxCj-a9Hg,1
UC95PSMouTx2N5CbSq0hIyrQ,j43HgwYFKfk,1
UC9Wp6vL5oCU37qC3Aj94WZA,b_Hkrkl3adA,1
UC9vMq1YF-e7C-VO0SHkbUTA,n8iP75gIpmw,4
UC9xr9QvIcDvoZNUX5f-jaZw,n8iP75gIpmw,1
UCA93ym2TXs_Ibyxb4Vcn-6Q,n8iP75gIpmw,1
UCAKuKvcbfnBD3kF5njNu-IA,j43HgwYFKfk,1
UCAV7QIjYhbDJaycQycM_0eQ,PjmxCj-a9Hg,1
UCAlzM_N6xBlMYmM8EBzX86Q,n8iP75gIpmw,1
UCAmtbUiIrUIhikru0ZoTFig,n8iP75gIpmw,1
UCAxvOOHQk7dYPOajzFEVtbA,06mFNPU0aB8,2
UCB5p8a5gklc80jJItP6xTHg,n8iP75gIpmw,1
UCBlm80VQ4YoV3bUJR_XhkaQ,OkXlHx0hx-8,2
UCBtB5dIyx-C16UN8ClUD2UA,is3Mk5oC19g,1
UCCBYcToQ2dwkd6TJh0FSyDg,j43HgwYFKfk,1
