red,nodo,tipo,etiqueta,es_articulacion,componentes_base,componentes_tras_quitar,mayor_tras_quitar,delta_componentes
A,UCHTGCgY2l-DQJIvlA_cpa_Q,autor,virgiliogarcia3039,True,10,11,214,1
A,UCpsKOkt5iWTbenzeuq7dsmQ,autor,inge_vergueta,True,10,11,247,1
A,UCzZ6dDCEsLMXbc5pCFXIprw,autor,josegil3813,True,10,11,232,1
A,UCylqlpsh8ENNM1LqgQ1KbxA,autor,jel.awesh.m,False,10,10,275,0
A,UCjZgFEowMBrsjodqfovzdKw,autor,franciscoflores3120,True,10,11,263,1
A,UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,hashojea7348,True,10,11,270,1
A,UCbrtvygfRT6QXqWDNrOf-cA,autor,alejandro00710,False,10,10,275,0
A,UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,moisesvaldez4043,True,10,11,269,1
A,UCdFlugHJJa4l3YqWuNRmvXw,autor,marcoscarillo-b1r,True,10,11,269,1
B,n8iP75gIpmw,video,Qué rico come tu diputado,True,10,136,88,126
B,j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,True,10,57,231,47
B,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,True,10,41,241,31
B,lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,True,10,34,286,24
B,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,True,10,28,222,18
