video_id,title,channel_name,category,view_count,n_comentarios,n_autores,grado_bip,intermediacion_bip,grado_V,fuerza_V,intermediacion_V
n8iP75gIpmw,Qué rico come tu diputado,Quorum,News & Politics,11775,161,128,128,0.5656979124027836,4,5,0.1503267973856209
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,3628,25,19,19,0.24402783462955385,2,2,0.09150326797385622
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,10156,50,49,49,0.22747441670077775,3,4,0.05228758169934641
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,11670,45,32,32,0.187621776504298,2,2,0.05228758169934641
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,News & Politics,717,12,10,10,0.1282930822758903,4,5,0.09150326797385622
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,1954,16,16,16,0.0636676217765043,2,3,0.0
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,6692,14,13,13,0.05471960704052395,1,1,0.0
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,5469,7,7,7,0.0276545231273025,1,1,0.0
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,4616,7,7,7,0.0276545231273025,1,1,0.0
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,News & Politics,422,6,6,6,0.023086369218174377,2,2,0.0
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,304089,25,25,25,0.0049119934506754,0,0,0.0
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,14200,25,18,18,0.0025051166598444538,0,0,0.0
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,1075,4,4,4,9.823986901350798e-05,0,0,0.0
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,673,3,3,3,4.911993450675399e-05,0,0,0.0
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,573,2,2,2,1.637331150225133e-05,0,0,0.0
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,220,1,1,1,0.0,0,0,0.0
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1140,1,1,1,0.0,0,0,0.0
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1755,1,1,1,0.0,0,0,0.0
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,52,1,1,1,0.0,0,0,0.0
