nodo,comunidad,tamano_comunidad,author_name,author_handle,grado
UCHTGCgY2l-DQJIvlA_cpa_Q,1,126,@virgiliogarcia3039,virgiliogarcia3039,145
UCsUCN0Yq_UyTvKjOJLmNrnQ,1,126,@moisesvaldez4043,moisesvaldez4043,133
UC-hfX8J5JPJ-dfuakzegMLA,1,126,@normaleticiaorozcojuarez2418,normaleticiaorozcojuarez2418,127
UC-jS_kA9w-OmpupXDx156Rg,1,126,@simoncreyesc7579,simoncreyesc7579,127
UC-pNP6RMFuLg_-x7Ah_0kEA,1,126,@almacatalan2717,almacatalan2717,127
UC1vr9aaMI2crB0NvwFHUeoQ,1,126,@JoseSimilox-p6e,josesimilox-p6e,127
UC2Y_EHWQKevubk4vOEBBFxw,1,126,@alfonsomorales2653,alfonsomorales2653,127
UC2weSE8rpqkGMOp6StYtVfg,1,126,@katerynsantiago2907,katerynsantiago2907,127
UC3E9mAgP7VoAE5mZoAexl5g,1,126,@EnnioAroche,ennioaroche,127
UC3MYTqpQqlWBuCB7Th0e0PA,1,126,@isaaclopez7220,isaaclopez7220,127
UC3NMzdMYryaw82kPTnsaljg,1,126,@marisosa7832,marisosa7832,127
UC3XTwHxygNCgjndsg-UiCQA,1,126,@marioajset4283,marioajset4283,127
UC3qn1yJA5PeW9rkGPatQxiw,1,126,@VICTOREST19,victorest19,127
UC4cXueR2bKGFJV0Fk76gwmA,1,126,@aluxdel4792,aluxdel4792,127
UC4wq3DcbfaG6dtCqn8Oyu3w,1,126,@hugoasencio7764,hugoasencio7764,127
UC5H8ASmMC9WrURmzeB4ySog,1,126,@ManuelEdran,manueledran,127
UC5bG9nc_JV3FsNP2KseQiYw,1,126,@giovannirodas4836,giovannirodas4836,127
UC650pRT-OYzny3GwOH8Cgfw,1,126,@edvinparedesherrera7632,edvinparedesherrera7632,127
UC6PvO1_k5lHKGdAPo5_C6TA,1,126,@johnmejia992,johnmejia992,127
UC6YSZqL0vEcI-niPKIMUGfw,1,126,@maxwellsales885,maxwellsales885,127
UC72gBAtyb_VXQlYDcFrh6oQ,1,126,@osmanmorales3012,osmanmorales3012,127
UC7VUuJr9cGh845CmTvf7TlQ,1,126,@LuisCastillo-oz4df,luiscastillo-oz4df,127
UC8F2V63KZ4ZEay6opX2hAQw,1,126,@carmenr6311,carmenr6311,127
UC8G5cJONY8L9voMyBW8Eoug,1,126,@luisparedes-pw6qt,luisparedes-pw6qt,127
UC8r11yOugM2NuRfitQOxLLg,1,126,@cesaraugustomoralesmonroy6907,cesaraugustomoralesmonroy6907,127
UC9vMq1YF-e7C-VO0SHkbUTA,1,126,@ErvinLeonardoCarreraLatín,ervinleonardocarreralatín,127
UC9xr9QvIcDvoZNUX5f-jaZw,1,126,@MariaaliciaColonmorales,mariaaliciacolonmorales,127
UCA93ym2TXs_Ibyxb4Vcn-6Q,1,126,@oswaldosolis8728,oswaldosolis8728,127
UCAlzM_N6xBlMYmM8EBzX86Q,1,126,@carlossoto3252,carlossoto3252,127
UCAmtbUiIrUIhikru0ZoTFig,1,126,@Aura-vf6dm,aura-vf6dm,127
UCB5p8a5gklc80jJItP6xTHg,1,126,@ernestogamboa8737,ernestogamboa8737,127
UCCaYwkkbQGcvFoUmothVdQQ,1,126,@OsvaldoAguirre-l3i,osvaldoaguirre-l3i,127
UCDIMztpVm7G27qBuiWuT6oQ,1,126,@lizardomorataya8274,lizardomorataya8274,127
UCDPWkUX3sNNaCx-m1dV4glA,1,126,@hectoroliva949,hectoroliva949,127
UCDQaQv0hr2SS_PO-CMEwVHg,1,126,@federicosaquimux1933,federicosaquimux1933,127
UCDUffaruH6dyUnUGwsTKpgg,1,126,@luisletona2842,luisletona2842,127
UCDftMWXQoJ6nONfY7GVOVjg,1,126,@luisgpacheco5858,luisgpacheco5858,127
UCDlr1VadSucIZgZ171pRBjQ,1,126,@cuabatzjj5924,cuabatzjj5924,127
