comunidad,autores,grado_medio,porcentaje_autores,modularidad_particion
1,126,127.19047619047619,37.95180722891566,0.3949028012418394
2,61,24.131147540983605,18.373493975903614,0.3949028012418394
3,55,48.27272727272727,16.566265060240966,0.3949028012418394
4,28,12.464285714285714,8.433734939759036,0.3949028012418394
5,25,24.0,7.530120481927711,0.3949028012418394
6,18,17.0,5.421686746987952,0.3949028012418394
7,6,6.0,1.8072289156626506,0.3949028012418394
8,4,3.0,1.2048192771084338,0.3949028012418394
9,3,2.0,0.9036144578313253,0.3949028012418394
10,2,1.0,0.6024096385542169,0.3949028012418394
11,1,0.0,0.30120481927710846,0.3949028012418394
12,1,0.0,0.30120481927710846,0.3949028012418394
13,1,0.0,0.30120481927710846,0.3949028012418394
14,1,0.0,0.30120481927710846,0.3949028012418394
