unidad,comentarios,pct,pct_acumulado,rank,titulo
n8iP75gIpmw,161,39.66,39.66,1,Qué rico come tu diputado
j43HgwYFKfk,50,12.32,51.97,2,La cooptación de Walter Mazariegos en la USAC
6W4u8sGEnGM,45,11.08,63.05,3,Inician los trabajos de recuperación del Puente Belice II.
lj983NWyAQY,25,6.16,69.21,4,Plan 2032 Ciudad de Guatemala
PjmxCj-a9Hg,25,6.16,75.37,5,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
OkXlHx0hx-8,25,6.16,81.53,6,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
yLZS3JiEBg8,16,3.94,85.47,7,Arroz con pollo a la MONOPOLIO
06mFNPU0aB8,14,3.45,88.92,8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
ndAZjHqzzT8,12,2.96,91.87,9,Internet: escoger el menos malo
is3Mk5oC19g,7,1.72,93.6,10,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu
b_Hkrkl3adA,7,1.72,95.32,11,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
WIUZtitfLRw,6,1.48,96.8,12,Caminar en una ciudad hecha para carros
TT4qJ5FXHYE,4,0.99,97.78,13,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres."
JkpVO1hx2f8,3,0.74,98.52,14,10 Preguntas a un año del Paro Nacional
3Nfp9h5avBI,2,0.49,99.01,15,"Noticiero en Directo 1 pm, 28 de Agosto de 2026"
X_FAIef8qlE,1,0.25,99.26,16,Cruzando la ciudad a puro Transmetro
UhL9y3KUl8E,1,0.25,99.51,17,SHAI WA: la vecina queer de Casa Presidencial
s0eco-BofOs,1,0.25,99.75,18,¿Quiénes pagan más en Centroamérica?
zweosulrwA8,1,0.25,100.0,19,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2
