bigrama,frecuencia,pct_del_total
presidente bernardo,9,0.21
bernardo arevalo,8,0.18
ser diputado,7,0.16
ciudad guatemala,6,0.14
hacer él,5,0.11
dar él,5,0.11
nery roda,5,0.11
bla bla,5,0.11
pacto corrupto,5,0.11
buscar trabajo,4,0.09
morir él,4,0.09
gastar dinero,4,0.09
hacer bueno,4,0.09
pagar dinero,4,0.09
llevar año,4,0.09
dinero pueblo,4,0.09
deber ser,4,0.09
comida nadie,4,0.09
pueblo pagar,4,0.09
guatemala saludo,4,0.09
pagar comida,4,0.09
pagar sueldo,4,0.09
morir hambre,4,0.09
hand purple,3,0.07
purple blue,3,0.07
blue peace,3,0.07
vivo guatemala,3,0.07
poder hacer,3,0.07
él hambre,3,0.07
él dinero,3,0.07
excelente trabajo,3,0.07
diputado nery,3,0.07
pagar almuerzo,3,0.07
apoyo presidente,3,0.07
ley competencia,3,0.07
diputado querer,3,0.07
poder ver,3,0.07
libre mercado,3,0.07
comunidad internacional,3,0.07
poder terminar,3,0.07
trabajo hacer,3,0.07
deber pagar,3,0.07
costilla pueblo,3,0.07
tren maya,3,0.07
él carcel,2,0.05
reunión virtual,2,0.05
peace hand,2,0.05
llevar lonchera,2,0.05
hacer recarga,2,0.05
diputado alcanzar,2,0.05
sueldo buscar,2,0.05
trabajo departamento,2,0.05
ver trabajo,2,0.05
trabajo realizar,2,0.05
pueblo morir,2,0.05
ganar quetzales,2,0.05
trabajar capital,2,0.05
gente morir,2,0.05
buen información,2,0.05
junta directivo,2,0.05
entender periodista,2,0.05
partido político,2,0.05
puente rio,2,0.05
dar gusto,2,0.05
jugoso salario,2,0.05
político gastar,2,0.05
niño desnutrido,2,0.05
san carlos,2,0.05
excelente iniciativa,2,0.05
guatemala solo,2,0.05
persona trabajador,2,0.05
vivir vivir,2,0.05
vivir presidente,2,0.05
comer gratis,2,0.05
diputado ladrón,2,0.05
bueno pueblo,2,0.05
comer mercado,2,0.05
competencia seguir,2,0.05
trabajo pagar,2,0.05
productivo país,2,0.05
querer justificar,2,0.05
diputado roda,2,0.05
pensar pueblo,2,0.05
pueblo sufrir,2,0.05
empresa pagar,2,0.05
sino asignar,2,0.05
sueldo dinero,2,0.05
empleado público,2,0.05
propio sueldo,2,0.05
seguir ser,2,0.05
dios bendigar,2,0.05
ahora destapo,2,0.05
destapo corrupcion,2,0.05
corrupcion existia,2,0.05
existia ahora,2,0.05
ahora contaminar,2,0.05
contaminar despu,2,0.05
despu ampliacion,2,0.05
ampliacion ahora,2,0.05
ahora deuda,2,0.05
