palabra,frecuencia,pct_del_total
hacer,75,1.58
pueblo,56,1.18
guatemala,52,1.1
diputado,50,1.05
él,49,1.03
pagar,40,0.84
poder,36,0.76
país,36,0.76
dinero,34,0.72
solo,33,0.7
dar,33,0.7
decir,32,0.67
presidente,32,0.67
corrupto,30,0.63
trabajo,28,0.59
ver,27,0.57
seguir,24,0.51
ser,24,0.51
excelente,22,0.46
trabajar,21,0.44
bueno,21,0.44
pais,21,0.44
empresa,20,0.42
sueldo,20,0.42
querer,20,0.42
mismo,19,0.4
proyecto,19,0.4
dejar,17,0.36
almuerzo,17,0.36
pasar,17,0.36
buen,16,0.34
persona,16,0.34
ahora,16,0.34
bien,15,0.32
hablar,15,0.32
llegar,15,0.32
deber,15,0.32
año,15,0.32
señor,15,0.32
gobierno,14,0.29
salir,13,0.27
ganar,13,0.27
vivir,13,0.27
así,13,0.27
siempre,13,0.27
mas,13,0.27
cosa,12,0.25
ley,12,0.25
buscar,11,0.23
problema,11,0.23
hambre,11,0.23
comer,11,0.23
pues,11,0.23
entender,11,0.23
salario,11,0.23
dios,11,0.23
bernardo,11,0.23
arevalo,11,0.23
saludo,11,0.23
comida,11,0.23
llevar,10,0.21
sacar,10,0.21
nunca,10,0.21
gran,10,0.21
roda,10,0.21
nadie,10,0.21
terminar,10,0.21
gasto,10,0.21
saber,10,0.21
robar,9,0.19
morir,9,0.19
gente,9,0.19
video,9,0.19
información,9,0.19
periodista,9,0.19
usac,9,0.19
político,9,0.19
gastar,9,0.19
mientras,9,0.19
mejor,9,0.19
congreso,9,0.19
cómo,9,0.19
ciudad,9,0.19
salvador,9,0.19
gustar,8,0.17
tiempo,8,0.17
ladrón,8,0.17
internet,8,0.17
existir,8,0.17
anterior,8,0.17
guatemalteco,8,0.17
esperar,8,0.17
gracias,8,0.17
nery,8,0.17
creer,8,0.17
bla,8,0.17
poner,8,0.17
claro,8,0.17
usted,8,0.17
pequeño,7,0.15
