video_id,n_com,n_aut,likes,respuestas,title,channel_id,channel_name,category,view_count,source_query,source_group,com_por_autor,com_por_1k_vistas
n8iP75gIpmw,161,128,358.0,3,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,11775,Quorum GT,topic,1.26,13.67
j43HgwYFKfk,50,49,91.0,0,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,10156,@quorumgt,topic,1.02,4.92
6W4u8sGEnGM,45,32,90.0,11,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,11670,Gobierno de la República de Guatemala,topic,1.41,3.86
lj983NWyAQY,25,25,1697.0,16,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,304089,Municipalidad de Guatemala,topic,1.0,0.08
PjmxCj-a9Hg,25,19,20.0,4,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,3628,@GobiernodeGuatemala,topic,1.32,6.89
OkXlHx0hx-8,25,18,25.0,13,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,14200,guatemala noticias,topic,1.39,1.76
yLZS3JiEBg8,16,16,13.0,0,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1954,@quorumgt/videos,channel,1.0,8.19
06mFNPU0aB8,14,13,12.0,1,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,6692,guatemala noticias,topic,1.08,2.09
ndAZjHqzzT8,12,10,3.0,1,Internet: escoger el menos malo,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,717,@quorumgt/videos,channel,1.2,16.74
is3Mk5oC19g,7,7,0.0,1,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,4616,guatemala noticias,topic,1.0,1.52
b_Hkrkl3adA,7,7,1.0,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,5469,guatemala noticias,topic,1.0,1.28
WIUZtitfLRw,6,6,1.0,0,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,422,@quorumgt/videos,channel,1.0,14.22
TT4qJ5FXHYE,4,4,8.0,0,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1075,@quorumgt/videos,channel,1.0,3.72
JkpVO1hx2f8,3,3,4.0,0,10 Preguntas a un año del Paro Nacional,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,673,@quorumgt/videos,channel,1.0,4.46
3Nfp9h5avBI,2,2,0.0,0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,573,guatemala noticias,topic,1.0,3.49
X_FAIef8qlE,1,1,0.0,0,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1140,@quorumgt/videos,channel,1.0,0.88
UhL9y3KUl8E,1,1,2.0,0,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1755,@quorumgt/videos,channel,1.0,0.57
s0eco-BofOs,1,1,0.0,0,¿Quiénes pagan más en Centroamérica?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,220,Quorum GT,topic,1.0,4.55
zweosulrwA8,1,1,0.0,0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,52,@quorumgt,topic,1.0,19.23
