id,tipo,n_comentarios,author_name,author_handle,n_videos,title,channel_id,channel_name,category,view_count,n_autores
UC-HeUTT6_g-VoiWds2a4H-w,autor,1,@JorgeMunoz-gd9et,jorgemunoz-gd9et,1,,,,,,
UC-Iul5tDYH_oiAMXQH-KaaQ,autor,1,@AlbertoMancilla-p9h,albertomancilla-p9h,1,,,,,,
UC-QOpE7GOxlXcHZ8b7HbQKA,autor,2,@mariaalexander427,mariaalexander427,1,,,,,,
UC-fiZBS5Gp1eCJd9ucgWnCg,autor,1,@Tommii.10,tommii.10,1,,,,,,
UC-hfX8J5JPJ-dfuakzegMLA,autor,1,@normaleticiaorozcojuarez2418,normaleticiaorozcojuarez2418,1,,,,,,
UC-jS_kA9w-OmpupXDx156Rg,autor,1,@simoncreyesc7579,simoncreyesc7579,1,,,,,,
UC-pNP6RMFuLg_-x7Ah_0kEA,autor,1,@almacatalan2717,almacatalan2717,1,,,,,,
UC094EFEmMSdwVa8NQjjYBXg,autor,1,@CelestinoQuej-j7k,celestinoquej-j7k,1,,,,,,
UC0HvfEWozTHbwl_iEmJNvVA,autor,1,@OttoPalencia-b7r,ottopalencia-b7r,1,,,,,,
UC0RpuMwkDKJYqgKHtsJRuWQ,autor,1,@sabinamarinaguerra3248,sabinamarinaguerra3248,1,,,,,,
UC0aEyakBPqcBkVJiErfSupQ,autor,1,@jhonymanuel9891,jhonymanuel9891,1,,,,,,
UC14qlobYKqD-DO0j6b75lcA,autor,1,@megavision4488,megavision4488,1,,,,,,
UC1DpqK6vaPEkBOMNvypsKYg,autor,1,@HectorCarranza-u4j4o,hectorcarranza-u4j4o,1,,,,,,
UC1NiEdJ7gk6FlDexIalWnGg,autor,1,@BorisTebalán,boristebalán,1,,,,,,
UC1WlJfQmaIskYhP4gmWoamw,autor,1,@marthareiss5434,marthareiss5434,1,,,,,,
UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,1,@rosadiaz9235,rosadiaz9235,1,,,,,,
UC1vr9aaMI2crB0NvwFHUeoQ,autor,1,@JoseSimilox-p6e,josesimilox-p6e,1,,,,,,
UC2Y_EHWQKevubk4vOEBBFxw,autor,1,@alfonsomorales2653,alfonsomorales2653,1,,,,,,
UC2ngpd8UBQu4gcUYy0goAtg,autor,1,@juliohernandez7438,juliohernandez7438,1,,,,,,
UC2weSE8rpqkGMOp6StYtVfg,autor,1,@katerynsantiago2907,katerynsantiago2907,1,,,,,,
UC32oozucwCF3q8d4m8fyOUg,autor,1,@RauldejesusOlivagonzalez,rauldejesusolivagonzalez,1,,,,,,
UC3E9mAgP7VoAE5mZoAexl5g,autor,1,@EnnioAroche,ennioaroche,1,,,,,,
UC3MYTqpQqlWBuCB7Th0e0PA,autor,1,@isaaclopez7220,isaaclopez7220,1,,,,,,
UC3NMzdMYryaw82kPTnsaljg,autor,1,@marisosa7832,marisosa7832,1,,,,,,
UC3UVO7pTbeYvZ3ILEyRDskQ,autor,1,@rosaelenaargueta79,rosaelenaargueta79,1,,,,,,
UC3XTwHxygNCgjndsg-UiCQA,autor,3,@marioajset4283,marioajset4283,1,,,,,,
UC3YpzAr7pcdKC7BVFEpYzog,autor,1,@carmenfigueroa1232,carmenfigueroa1232,1,,,,,,
UC3iIU62XKUOWuqL8BqBzj9A,autor,1,@antonioduarte2288,antonioduarte2288,1,,,,,,
UC3qn1yJA5PeW9rkGPatQxiw,autor,1,@VICTOREST19,victorest19,1,,,,,,
UC4Avya4kmR4Q0FrfFdBozSQ,autor,1,@davidlima1348,davidlima1348,1,,,,,,
UC4cXueR2bKGFJV0Fk76gwmA,autor,1,@aluxdel4792,aluxdel4792,1,,,,,,
UC4kg7zuTfqQKLd2bkZrSYBA,autor,1,@zoilagarcia9019,zoilagarcia9019,1,,,,,,
UC4wq3DcbfaG6dtCqn8Oyu3w,autor,1,@hugoasencio7764,hugoasencio7764,1,,,,,,
UC5H8ASmMC9WrURmzeB4ySog,autor,5,@ManuelEdran,manueledran,1,,,,,,
UC5PrBbmUlQolwqmiru7yZhw,autor,1,@lazarochavez8269,lazarochavez8269,1,,,,,,
UC5PyGvSfFM--OVKmQ3COu6g,autor,1,@FreddyGmez,freddygmez,1,,,,,,
UC5bG9nc_JV3FsNP2KseQiYw,autor,1,@giovannirodas4836,giovannirodas4836,1,,,,,,
UC5fvhAfm89JH8eDFdvc0xYw,autor,1,@isaidiaz2388,isaidiaz2388,1,,,,,,
UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,1,@leonelsantizo5281,leonelsantizo5281,1,,,,,,
UC5wuDq3U3vRAhOQI3D7gNdw,autor,1,@allanreneramirezgonzalez534,allanreneramirezgonzalez534,1,,,,,,
UC63tFvbQ_hJhGDi2nbjssjw,autor,1,@AbigailRodas-w2r,abigailrodas-w2r,1,,,,,,
UC650pRT-OYzny3GwOH8Cgfw,autor,1,@edvinparedesherrera7632,edvinparedesherrera7632,1,,,,,,
UC6PvO1_k5lHKGdAPo5_C6TA,autor,1,@johnmejia992,johnmejia992,1,,,,,,
UC6Uj1FT5JjDSF8vudvDxPAA,autor,1,@alfredoortega9264,alfredoortega9264,1,,,,,,
UC6YSZqL0vEcI-niPKIMUGfw,autor,1,@maxwellsales885,maxwellsales885,1,,,,,,
UC6xI_MOaxajIWpoP8BH6E_Q,autor,1,@jahirdiaz5862,jahirdiaz5862,1,,,,,,
UC72gBAtyb_VXQlYDcFrh6oQ,autor,3,@osmanmorales3012,osmanmorales3012,1,,,,,,
UC7IMsCxfZyWN7YQo8-JYa6Q,autor,2,@Burgos68,burgos68,1,,,,,,
UC7VUuJr9cGh845CmTvf7TlQ,autor,1,@LuisCastillo-oz4df,luiscastillo-oz4df,1,,,,,,
UC7dadZG7kkGYnsNu6td0FbA,autor,1,@lesolorzano,lesolorzano,1,,,,,,
UC816IGbFCZinfYS1LRDaaHg,autor,1,@ingenieroar,ingenieroar,1,,,,,,
UC8F2V63KZ4ZEay6opX2hAQw,autor,1,@carmenr6311,carmenr6311,1,,,,,,
UC8G5cJONY8L9voMyBW8Eoug,autor,1,@luisparedes-pw6qt,luisparedes-pw6qt,1,,,,,,
UC8r11yOugM2NuRfitQOxLLg,autor,1,@cesaraugustomoralesmonroy6907,cesaraugustomoralesmonroy6907,1,,,,,,
UC8xlJWNHz1V_W6q3fbuQH8g,autor,1,@NormaLópez-v7e,normalópez-v7e,1,,,,,,
UC95PSMouTx2N5CbSq0hIyrQ,autor,1,@lisss1908,lisss1908,1,,,,,,
UC9Wp6vL5oCU37qC3Aj94WZA,autor,1,@ManuelSanchez-b8q2z,manuelsanchez-b8q2z,1,,,,,,
UC9vMq1YF-e7C-VO0SHkbUTA,autor,4,@ErvinLeonardoCarreraLatín,ervinleonardocarreralatín,1,,,,,,
UC9xr9QvIcDvoZNUX5f-jaZw,autor,1,@MariaaliciaColonmorales,mariaaliciacolonmorales,1,,,,,,
UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,1,@oswaldosolis8728,oswaldosolis8728,1,,,,,,
UCAKuKvcbfnBD3kF5njNu-IA,autor,1,@melvinlopez7096,melvinlopez7096,1,,,,,,
UCAV7QIjYhbDJaycQycM_0eQ,autor,1,@mariavail8998,mariavail8998,1,,,,,,
UCAlzM_N6xBlMYmM8EBzX86Q,autor,1,@carlossoto3252,carlossoto3252,1,,,,,,
UCAmtbUiIrUIhikru0ZoTFig,autor,1,@Aura-vf6dm,aura-vf6dm,1,,,,,,
UCAxvOOHQk7dYPOajzFEVtbA,autor,2,@ruddydepaz322,ruddydepaz322,1,,,,,,
UCB5p8a5gklc80jJItP6xTHg,autor,1,@ernestogamboa8737,ernestogamboa8737,1,,,,,,
UCBlm80VQ4YoV3bUJR_XhkaQ,autor,2,@rosadiaz6945,rosadiaz6945,1,,,,,,
UCBtB5dIyx-C16UN8ClUD2UA,autor,1,@alexmonzon4257,alexmonzon4257,1,,,,,,
UCCBYcToQ2dwkd6TJh0FSyDg,autor,1,@lidiarodriguez3493,lidiarodriguez3493,1,,,,,,
UCCUmP4PlbwgikVFpYwbtRTg,autor,1,@alhvi,alhvi,1,,,,,,
UCCaYwkkbQGcvFoUmothVdQQ,autor,1,@OsvaldoAguirre-l3i,osvaldoaguirre-l3i,1,,,,,,
UCDIMztpVm7G27qBuiWuT6oQ,autor,1,@lizardomorataya8274,lizardomorataya8274,1,,,,,,
UCDPWkUX3sNNaCx-m1dV4glA,autor,1,@hectoroliva949,hectoroliva949,1,,,,,,
UCDQaQv0hr2SS_PO-CMEwVHg,autor,1,@federicosaquimux1933,federicosaquimux1933,1,,,,,,
UCDUffaruH6dyUnUGwsTKpgg,autor,1,@luisletona2842,luisletona2842,1,,,,,,
UCDftMWXQoJ6nONfY7GVOVjg,autor,1,@luisgpacheco5858,luisgpacheco5858,1,,,,,,
UCDlr1VadSucIZgZ171pRBjQ,autor,1,@cuabatzjj5924,cuabatzjj5924,1,,,,,,
UCDrmf9y9nLgFY5wnA2hTuGA,autor,1,@laboratorio5528,laboratorio5528,1,,,,,,
UCEHXl4VvvVpq-_4xC5tsbhg,autor,1,@anibalg47,anibalg47,1,,,,,,
UCEgEQmRbtL5fwr9_DqAC--g,autor,1,@ArielRodas-g5y,arielrodas-g5y,1,,,,,,
UCErZPJpHmLCsXs8ZWkAUupQ,autor,1,@dorisl.garciaroche7763,dorisl.garciaroche7763,1,,,,,,
UCFFrEmn6lPYiWyElpfzTy5Q,autor,1,@denilsonlopez4083,denilsonlopez4083,1,,,,,,
UCFOxCyF926Y9eHhMeVoWLzw,autor,1,@arielsarc09,arielsarc09,1,,,,,,
UCFUuDARXdmmIrLppEqf-rFg,autor,1,@allanmunoz7410,allanmunoz7410,1,,,,,,
UCFhxtoeARHPnXXPcDrOU3Xg,autor,1,@diegoalejandrolopezmendez205,diegoalejandrolopezmendez205,1,,,,,,
UCFjudnPLoaSL1BaRuLahyHg,autor,3,@HaroldoCastillo-rh9iw,haroldocastillo-rh9iw,1,,,,,,
UCFoIAE8k82D6AV-8gjjKaNg,autor,1,@eddymunoz9789,eddymunoz9789,1,,,,,,
UCFxE8GbokBrBsPEKM1xrOjQ,autor,1,@JuanDavila-qd7qj,juandavila-qd7qj,1,,,,,,
UCFybmWapGvBKcQod7cPPH9w,autor,1,@vitalianochavez8382,vitalianochavez8382,1,,,,,,
UCGGHbtfbbe0o68etrOf0qxw,autor,1,@karensussetteleonvargas9794,karensussetteleonvargas9794,1,,,,,,
UCGX_UbAQOXGZknv5iqklwTA,autor,1,@ronaldgarcia8522,ronaldgarcia8522,1,,,,,,
UCGZMgmM92E3njyXNe9-kjAQ,autor,1,@pasionpornada,pasionpornada,1,,,,,,
UCGj2v6Gl5bN8NSrzJMXS-CA,autor,1,@juliogutierrez492,juliogutierrez492,1,,,,,,
UCGm3gRBEHGRJYmtCryZLtDw,autor,1,@JoséLopez-g6k,josélopez-g6k,1,,,,,,
UCGqKxQS-z3NZzZF-2w338AA,autor,1,@samuelaguilar529,samuelaguilar529,1,,,,,,
UCGzXwyCzMzGmjmCbH3Hg01Q,autor,1,@FidelZacarias-ph7dy,fidelzacarias-ph7dy,1,,,,,,
UCHGd14aYuZZShLD73dkk6mg,autor,1,@noemiherrera3152,noemiherrera3152,1,,,,,,
UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,1,@crislexrubi4387,crislexrubi4387,1,,,,,,
UCHTGCgY2l-DQJIvlA_cpa_Q,autor,3,@virgiliogarcia3039,virgiliogarcia3039,2,,,,,,
UCHbwIx9pmQuf7i-4_xO2EpA,autor,1,@caminoseternos752,caminoseternos752,1,,,,,,
UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,2,@fredymendez1786,fredymendez1786,1,,,,,,
UCHu8x4MVkayU6VgwVKd--MQ,autor,1,@Hernandez-i1o,hernandez-i1o,1,,,,,,
UCIUhbSCy3-SGRe5UtqM4fzQ,autor,1,@jeanmorales1677,jeanmorales1677,1,,,,,,
UCIXLDYqR_syskKRJy_x9W9Q,autor,1,@carlitosramirez4739,carlitosramirez4739,1,,,,,,
UCIgoiXdIKJyUGmUoH2Lxdzg,autor,1,@susievidal4134,susievidal4134,1,,,,,,
UCIp19h9igblA2YKfSLPDAug,autor,1,@JoseReyes-rn6sh,josereyes-rn6sh,1,,,,,,
UCJp3OrVYcBorC94sKwdch_A,autor,1,@ULJoshmg2011,uljoshmg2011,1,,,,,,
UCJxJC56BSAX-ArD0NAb9qnQ,autor,1,@alfonsowilian9157,alfonsowilian9157,1,,,,,,
UCKDR0f2fu2UzWL8mBv5-BHw,autor,1,@mireyamorales6595,mireyamorales6595,1,,,,,,
UCKVzDUqbtdSMBcexaEtMmzQ,autor,1,@rotorairgroup8409,rotorairgroup8409,1,,,,,,
UCL13XhnRzbGokEkCkEOb0-g,autor,2,@raquelprado3643,raquelprado3643,1,,,,,,
UCL1MT278vSaQ83ZDkVWn1gw,autor,1,@elmorodriguez6978,elmorodriguez6978,1,,,,,,
UCLFdHr9BEbXHkoJopbEPLZw,autor,2,@kanterra4584,kanterra4584,1,,,,,,
UCLXYp1Cvc5DLtq5UQL5D9vw,autor,1,@jorgecifuentes-m5g,jorgecifuentes-m5g,1,,,,,,
UCLggDc_a5HriXv7I1h02sOA,autor,2,@guillermogonzalez5153,guillermogonzalez5153,1,,,,,,
UCLh1Kde4_vI1sTZBkTNP7RQ,autor,1,@JoelReynoso-d4r,joelreynoso-d4r,1,,,,,,
UCN2N_wYOw6fMwCeSzdXLPIw,autor,1,@danielantoniogonzalezflore4901,danielantoniogonzalezflore4901,1,,,,,,
UCN6qbfPSzFtjhqUDZ3Cv3CQ,autor,1,@carlosmedranovelasquez6380,carlosmedranovelasquez6380,1,,,,,,
UCNBnKqWf4d-rS4HwJRQljmQ,autor,2,@LE_A22,le_a22,1,,,,,,
UCNIeXbV_mEwpa412h1aqUWw,autor,3,@juandeleon9060,juandeleon9060,1,,,,,,
UCNiMNUJvaRJb0_QLClqwVnA,autor,1,@Santiago.Nolasco,santiago.nolasco,1,,,,,,
UCNkcuy42zEwddwEcOd_HpnA,autor,1,@vanigomez492,vanigomez492,1,,,,,,
UCNpt5CQlTzNjlAKY6CJtClQ,autor,1,@eustaquiogomez9975,eustaquiogomez9975,1,,,,,,
UCO0zwwLWGyDgQmWPJ5Qrr1w,autor,1,@elsalvador3605,elsalvador3605,1,,,,,,
UCOARn3hnfkB7-_Rwa8Hoqcw,autor,1,@nicelol5241,nicelol5241,1,,,,,,
UCOLGv5Pf6BF2wFcwUzgcvHg,autor,2,@welfrealdana5559,welfrealdana5559,1,,,,,,
UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,1,@luisroldan7374,luisroldan7374,1,,,,,,
UCOS8ViEkccrTZx2w2ccxotA,autor,1,@OscarHernandez-q8y,oscarhernandez-q8y,1,,,,,,
UCOY3XpD9qMCRSA8AA8c4CAw,autor,1,@franciscorodas9686,franciscorodas9686,1,,,,,,
UCOcUI5XkTYNMSFhZNMIPpGg,autor,1,@hendersonlopez3864,hendersonlopez3864,1,,,,,,
UCOh6DaZC_x9HASnlRylEMfw,autor,1,@AndresMedina-v1s,andresmedina-v1s,1,,,,,,
UCPLW0HE3siElqCgXfgWxMqg,autor,1,@elizabethmonterroso7719,elizabethmonterroso7719,1,,,,,,
