comunidad,n_comentarios,score_medio,positivo,neutral,negativo,pct_negativo,muestra_suficiente,autores,videos_principales,canales_principales
1,161,-0.6689,9,22,130,80.7,True,126.0,Qué rico come tu diputado (159); Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt (1); Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales (1),Quorum (159); Gobierno de la República de Guatemala (1); PrensaLibreOficial (1)
2,83,-0.2072,20,25,38,45.8,True,61.0,Inician los trabajos de recuperación del Puente Belice II. (45); Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt (24); Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto (14),Gobierno de la República de Guatemala (69); Noti7 (14)
3,60,-0.3757,11,12,37,61.7,True,55.0,La cooptación de Walter Mazariegos en la USAC (50); Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu (7); Qué rico come tu diputado (2),Quorum (53); TN23 Guatemala (7)
4,33,-0.2368,8,8,17,51.5,True,,,
5,25,0.6094,20,3,2,8.0,True,,,
6,25,-0.4731,2,7,16,64.0,True,,,
7,6,-0.76,0,1,5,83.3,False,,,
8,4,0.4666,3,0,1,25.0,False,,,
9,3,0.1573,2,0,1,33.3,False,,,
10,2,-0.5193,0,1,1,50.0,False,,,
11,1,0.7179,1,0,0,0.0,False,,,
12,1,-0.8882,0,0,1,100.0,False,,,
13,1,0.5237,1,0,0,0.0,False,,,
14,1,0.9716,1,0,0,0.0,False,,,
