video_id,n_comentarios,score_medio,positivo,neutral,negativo,pct_negativo,muestra_suficiente,title,channel_name,source_query
n8iP75gIpmw,161,-0.6709,9,22,130,80.7,True,Qué rico come tu diputado,Quorum,Quorum GT
j43HgwYFKfk,50,-0.3422,10,11,29,58.0,True,La cooptación de Walter Mazariegos en la USAC,Quorum,@quorumgt
6W4u8sGEnGM,45,-0.1086,13,14,18,40.0,True,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Gobierno de la República de Guatemala
lj983NWyAQY,25,0.6094,20,3,2,8.0,True,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,Municipalidad de Guatemala
PjmxCj-a9Hg,25,-0.4223,4,4,17,68.0,True,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,@GobiernodeGuatemala
OkXlHx0hx-8,25,-0.4731,2,7,16,64.0,True,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,guatemala noticias
yLZS3JiEBg8,16,-0.2357,5,2,9,56.2,True,Arroz con pollo a la MONOPOLIO,Quorum,@quorumgt/videos
06mFNPU0aB8,14,-0.1765,3,7,4,28.6,True,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,guatemala noticias
ndAZjHqzzT8,12,0.002,4,4,4,33.3,True,Internet: escoger el menos malo,Quorum,@quorumgt/videos
is3Mk5oC19g,7,-0.6218,0,1,6,85.7,False,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,guatemala noticias
b_Hkrkl3adA,7,-0.759,0,1,6,85.7,False,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,guatemala noticias
WIUZtitfLRw,6,-0.5598,0,2,4,66.7,False,Caminar en una ciudad hecha para carros,Quorum,@quorumgt/videos
TT4qJ5FXHYE,4,0.4666,3,0,1,25.0,False,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,@quorumgt/videos
JkpVO1hx2f8,3,0.1573,2,0,1,33.3,False,10 Preguntas a un año del Paro Nacional,Quorum,@quorumgt/videos
3Nfp9h5avBI,2,-0.5193,0,1,1,50.0,False,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,guatemala noticias
X_FAIef8qlE,1,-0.8882,0,0,1,100.0,False,Cruzando la ciudad a puro Transmetro,Quorum,@quorumgt/videos
UhL9y3KUl8E,1,0.9716,1,0,0,0.0,False,SHAI WA: la vecina queer de Casa Presidencial,Quorum,@quorumgt/videos
s0eco-BofOs,1,0.7179,1,0,0,0.0,False,¿Quiénes pagan más en Centroamérica?,Quorum,Quorum GT
zweosulrwA8,1,0.5237,1,0,0,0.0,False,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,@quorumgt
