red,nodo,grado
bipartita,UC-HeUTT6_g-VoiWds2a4H-w,1
bipartita,UC-Iul5tDYH_oiAMXQH-KaaQ,1
bipartita,UC-QOpE7GOxlXcHZ8b7HbQKA,1
bipartita,UC-fiZBS5Gp1eCJd9ucgWnCg,1
bipartita,UC-hfX8J5JPJ-dfuakzegMLA,1
bipartita,UC-jS_kA9w-OmpupXDx156Rg,1
bipartita,UC-pNP6RMFuLg_-x7Ah_0kEA,1
bipartita,UC094EFEmMSdwVa8NQjjYBXg,1
bipartita,UC0HvfEWozTHbwl_iEmJNvVA,1
bipartita,UC0RpuMwkDKJYqgKHtsJRuWQ,1
bipartita,UC0aEyakBPqcBkVJiErfSupQ,1
bipartita,UC14qlobYKqD-DO0j6b75lcA,1
bipartita,UC1DpqK6vaPEkBOMNvypsKYg,1
bipartita,UC1NiEdJ7gk6FlDexIalWnGg,1
bipartita,UC1WlJfQmaIskYhP4gmWoamw,1
bipartita,UC1Y7x3h0c95Z8kUhi-Tzaeg,1
bipartita,UC1vr9aaMI2crB0NvwFHUeoQ,1
bipartita,UC2Y_EHWQKevubk4vOEBBFxw,1
bipartita,UC2ngpd8UBQu4gcUYy0goAtg,1
bipartita,UC2weSE8rpqkGMOp6StYtVfg,1
bipartita,UC32oozucwCF3q8d4m8fyOUg,1
bipartita,UC3E9mAgP7VoAE5mZoAexl5g,1
bipartita,UC3MYTqpQqlWBuCB7Th0e0PA,1
bipartita,UC3NMzdMYryaw82kPTnsaljg,1
bipartita,UC3UVO7pTbeYvZ3ILEyRDskQ,1
bipartita,UC3XTwHxygNCgjndsg-UiCQA,1
bipartita,UC3YpzAr7pcdKC7BVFEpYzog,1
bipartita,UC3iIU62XKUOWuqL8BqBzj9A,1
bipartita,UC3qn1yJA5PeW9rkGPatQxiw,1
bipartita,UC4Avya4kmR4Q0FrfFdBozSQ,1
bipartita,UC4cXueR2bKGFJV0Fk76gwmA,1
bipartita,UC4kg7zuTfqQKLd2bkZrSYBA,1
bipartita,UC4wq3DcbfaG6dtCqn8Oyu3w,1
bipartita,UC5H8ASmMC9WrURmzeB4ySog,1
bipartita,UC5PrBbmUlQolwqmiru7yZhw,1
bipartita,UC5PyGvSfFM--OVKmQ3COu6g,1
bipartita,UC5bG9nc_JV3FsNP2KseQiYw,1
bipartita,UC5fvhAfm89JH8eDFdvc0xYw,1
bipartita,UC5hvEnRUzI4Kfvwnyi4QxqQ,1
bipartita,UC5wuDq3U3vRAhOQI3D7gNdw,1
bipartita,UC63tFvbQ_hJhGDi2nbjssjw,1
bipartita,UC650pRT-OYzny3GwOH8Cgfw,1
bipartita,UC6PvO1_k5lHKGdAPo5_C6TA,1
bipartita,UC6Uj1FT5JjDSF8vudvDxPAA,1
bipartita,UC6YSZqL0vEcI-niPKIMUGfw,1
bipartita,UC6xI_MOaxajIWpoP8BH6E_Q,1
bipartita,UC72gBAtyb_VXQlYDcFrh6oQ,1
bipartita,UC7IMsCxfZyWN7YQo8-JYa6Q,1
bipartita,UC7VUuJr9cGh845CmTvf7TlQ,1
bipartita,UC7dadZG7kkGYnsNu6td0FbA,1
bipartita,UC816IGbFCZinfYS1LRDaaHg,1
bipartita,UC8F2V63KZ4ZEay6opX2hAQw,1
bipartita,UC8G5cJONY8L9voMyBW8Eoug,1
bipartita,UC8r11yOugM2NuRfitQOxLLg,1
bipartita,UC8xlJWNHz1V_W6q3fbuQH8g,1
bipartita,UC95PSMouTx2N5CbSq0hIyrQ,1
bipartita,UC9Wp6vL5oCU37qC3Aj94WZA,1
bipartita,UC9vMq1YF-e7C-VO0SHkbUTA,1
bipartita,UC9xr9QvIcDvoZNUX5f-jaZw,1
bipartita,UCA93ym2TXs_Ibyxb4Vcn-6Q,1
bipartita,UCAKuKvcbfnBD3kF5njNu-IA,1
bipartita,UCAV7QIjYhbDJaycQycM_0eQ,1
bipartita,UCAlzM_N6xBlMYmM8EBzX86Q,1
bipartita,UCAmtbUiIrUIhikru0ZoTFig,1
bipartita,UCAxvOOHQk7dYPOajzFEVtbA,1
bipartita,UCB5p8a5gklc80jJItP6xTHg,1
bipartita,UCBlm80VQ4YoV3bUJR_XhkaQ,1
bipartita,UCBtB5dIyx-C16UN8ClUD2UA,1
bipartita,UCCBYcToQ2dwkd6TJh0FSyDg,1
bipartita,UCCUmP4PlbwgikVFpYwbtRTg,1
bipartita,UCCaYwkkbQGcvFoUmothVdQQ,1
bipartita,UCDIMztpVm7G27qBuiWuT6oQ,1
bipartita,UCDPWkUX3sNNaCx-m1dV4glA,1
bipartita,UCDQaQv0hr2SS_PO-CMEwVHg,1
bipartita,UCDUffaruH6dyUnUGwsTKpgg,1
bipartita,UCDftMWXQoJ6nONfY7GVOVjg,1
bipartita,UCDlr1VadSucIZgZ171pRBjQ,1
bipartita,UCDrmf9y9nLgFY5wnA2hTuGA,1
bipartita,UCEHXl4VvvVpq-_4xC5tsbhg,1
bipartita,UCEgEQmRbtL5fwr9_DqAC--g,1
bipartita,UCErZPJpHmLCsXs8ZWkAUupQ,1
bipartita,UCFFrEmn6lPYiWyElpfzTy5Q,1
bipartita,UCFOxCyF926Y9eHhMeVoWLzw,1
bipartita,UCFUuDARXdmmIrLppEqf-rFg,1
bipartita,UCFhxtoeARHPnXXPcDrOU3Xg,1
bipartita,UCFjudnPLoaSL1BaRuLahyHg,1
bipartita,UCFoIAE8k82D6AV-8gjjKaNg,1
bipartita,UCFxE8GbokBrBsPEKM1xrOjQ,1
bipartita,UCFybmWapGvBKcQod7cPPH9w,1
bipartita,UCGGHbtfbbe0o68etrOf0qxw,1
bipartita,UCGX_UbAQOXGZknv5iqklwTA,1
bipartita,UCGZMgmM92E3njyXNe9-kjAQ,1
bipartita,UCGj2v6Gl5bN8NSrzJMXS-CA,1
bipartita,UCGm3gRBEHGRJYmtCryZLtDw,1
bipartita,UCGqKxQS-z3NZzZF-2w338AA,1
bipartita,UCGzXwyCzMzGmjmCbH3Hg01Q,1
bipartita,UCHGd14aYuZZShLD73dkk6mg,1
bipartita,UCHMQ_lDhibZ-XZ_3fo6oxwg,1
bipartita,UCHTGCgY2l-DQJIvlA_cpa_Q,2
bipartita,UCHbwIx9pmQuf7i-4_xO2EpA,1
bipartita,UCHhHUjaMAZ8SiXdCUCj9DkQ,1
bipartita,UCHu8x4MVkayU6VgwVKd--MQ,1
bipartita,UCIUhbSCy3-SGRe5UtqM4fzQ,1
bipartita,UCIXLDYqR_syskKRJy_x9W9Q,1
bipartita,UCIgoiXdIKJyUGmUoH2Lxdzg,1
bipartita,UCIp19h9igblA2YKfSLPDAug,1
bipartita,UCJp3OrVYcBorC94sKwdch_A,1
bipartita,UCJxJC56BSAX-ArD0NAb9qnQ,1
bipartita,UCKDR0f2fu2UzWL8mBv5-BHw,1
bipartita,UCKVzDUqbtdSMBcexaEtMmzQ,1
bipartita,UCL13XhnRzbGokEkCkEOb0-g,1
bipartita,UCL1MT278vSaQ83ZDkVWn1gw,1
bipartita,UCLFdHr9BEbXHkoJopbEPLZw,1
bipartita,UCLXYp1Cvc5DLtq5UQL5D9vw,1
bipartita,UCLggDc_a5HriXv7I1h02sOA,1
bipartita,UCLh1Kde4_vI1sTZBkTNP7RQ,1
bipartita,UCN2N_wYOw6fMwCeSzdXLPIw,1
bipartita,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1
bipartita,UCNBnKqWf4d-rS4HwJRQljmQ,1
bipartita,UCNIeXbV_mEwpa412h1aqUWw,1
bipartita,UCNiMNUJvaRJb0_QLClqwVnA,1
bipartita,UCNkcuy42zEwddwEcOd_HpnA,1
