,familia,contribucion_plano,r_pc1,r_pc2,comunalidad_plano,razon_f_ward,z_maximo,brecha_z,serie_responsable
FC_LocalSimple_mean3_stderr,Diferencias y pronóstico local,0.9897,0.9584,-0.2472,0.9796,3.8811,1.6437,0.0964,Vía Marítima
SP_Summaries_welch_rect_area_5_1,Espectro y periodicidad,0.9561,-0.8009,0.5221,0.9141,6.7461,1.4214,0.07,Estados Unidos
CO_HistogramAMI_even_2_5,Autocorrelación no lineal,0.9235,-0.8702,0.3091,0.8528,3.3412,1.5322,0.3576,Vía Marítima
DN_OutlierInclude_p_001_mdrmd,Eventos extremos,0.9157,-0.7045,-0.5849,0.8384,5.4589,1.3387,0.0294,Estados Unidos
CO_f1ecac,Autocorrelación lineal,0.9107,-0.9102,0.0292,0.8294,2.9004,1.8847,0.4221,Honduras
SP_Summaries_welch_rect_centroid,Espectro y periodicidad,0.9095,0.8986,0.1405,0.8272,1.4522,2.3625,1.5511,Vía Marítima
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,Escalamiento de fluctuaciones,0.9059,0.0481,0.9047,0.8207,103.8367,2.4162,1.9163,Estados Unidos
FC_LocalSimple_mean1_tauresrat,Diferencias y pronóstico local,0.9022,0.8921,0.1349,0.814,1.3305,2.3445,1.4175,Vía Marítima
PD_PeriodicityWang_th0_01,Espectro y periodicidad,0.899,0.8253,0.3563,0.8081,321.1429,1.1654,0.0364,Honduras
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,Escalamiento de fluctuaciones,0.8823,-0.013,0.8823,0.7785,61.5089,2.4106,1.8733,Estados Unidos
SB_BinaryStats_mean_longstretch1,Dinámica simbólica y rachas,0.8706,-0.7515,0.4394,0.7579,2.4781,1.5565,0.0533,El Salvador
DN_OutlierInclude_n_001_mdrmd,Eventos extremos,0.8597,0.8547,0.0919,0.739,1.0656,2.4132,1.7212,Vía Marítima
CO_trev_1_num,Autocorrelación no lineal,0.8468,-0.0785,-0.8431,0.717,2.9866,1.7383,0.3227,Estados Unidos
CO_FirstMin_ac,Autocorrelación lineal,0.8018,0.2179,0.7717,0.6429,3.122,1.2649,0.0,Total
IN_AutoMutualInfoStats_40_gaussian_fmmi,Autocorrelación no lineal,0.7448,0.4394,0.6014,0.5547,6.7692,1.5174,0.0,Total
DN_HistogramMode_5,Distribución de valores,0.7401,-0.148,0.7251,0.5477,0.887,2.1459,1.0058,Total
SB_MotifThree_quantile_hh,Dinámica simbólica y rachas,0.6648,0.5263,-0.4062,0.442,5.8305,1.5501,0.154,Vía Aérea
SB_TransitionMatrix_3ac_sumdiagcov,Dinámica simbólica y rachas,0.5588,-0.5455,0.1213,0.3123,0.5792,2.4189,1.7927,Honduras
MD_hrv_classic_pnn40,Diferencias y pronóstico local,0.5489,-0.5377,-0.1106,0.3013,0.1894,2.2947,1.3341,Vía Marítima
CO_Embed2_Dist_tau_d_expfit_meandiff,Autocorrelación no lineal,0.5355,-0.4692,-0.2582,0.2868,0.4186,1.308,0.0761,Vía Marítima
SB_BinaryStats_diff_longstretch0,Diferencias y pronóstico local,0.4066,-0.1644,0.3718,0.1653,0.1429,1.5811,0.0,Total
DN_HistogramMode_10,Distribución de valores,0.1621,0.1134,-0.1159,0.0263,0.4738,1.9096,0.5248,Vía Aérea
