serie,modelo,familia,mae,rmse,mape,mejor_global
total,ses,lab1,175088.43650293106,194790.81178631884,58.11465732490818,False
total,holt_winters,lab1,196956.0108705432,216457.0840422632,65.30442096738007,False
total,seasonal_naive,lab1,235730.91380951655,253203.387827612,83.86236241315198,False
total,sarima,lab1,250722.71474027747,274289.5429602434,83.47718143153784,False
total,prophet,lab1,264527.1302262719,282313.47858946025,92.5026320176104,False
total,lstm_directo,lstm,76957.26499321785,100289.61372388234,33.763997925089775,True
total,lstm_recursivo,lstm,143302.83494347328,164705.66192836477,46.89591665146726,False
via_aerea,ses,lab1,36108.52689360327,41367.771593564175,35.61669760226233,False
via_aerea,holt_winters,lab1,48043.41123931864,52231.07405376311,48.50621512787279,False
via_aerea,sarima,lab1,73965.53218128067,77679.71676978437,77.57231130480487,False
via_aerea,seasonal_naive,lab1,75103.70007949528,79077.33476562955,80.57782599253824,False
via_aerea,prophet,lab1,89053.97469049603,92265.91665400496,93.172116708428,False
via_aerea,lstm_directo,lstm,22634.83263640288,29623.40768002837,24.931347333656745,True
via_aerea,lstm_recursivo,lstm,31638.00178355881,37765.91303560975,31.14340860358248,False
