serie,estrategia,ventana,unidades,capas,dropout,learning_rate,batch_size,epocas_efectivas,n_parametros,val_loss,mae_val,rmse_val,tiempo_s,seleccionado
total,recursivo,24,64,1,0.2,0.001,16,24,16961,0.1286485493183136,121319.50086056648,149716.2346239642,3.1961520069999096,True
total,recursivo,12,64,1,0.2,0.001,16,24,16961,0.1202739030122757,124842.95072237146,149826.2172548761,3.2069333039980847,False
total,recursivo,12,64,2,0.0,0.001,16,23,49985,0.12778827548027039,125162.73420015513,152188.12933325281,3.755905531997996,False
total,recursivo,12,32,2,0.0,0.001,16,24,12705,0.12985765933990479,132966.61584635486,152596.3372236409,3.730758893001621,False
total,recursivo,24,64,2,0.2,0.001,16,22,49985,0.14787638187408447,131998.37719327648,155304.16839596152,4.169170973000291,False
total,recursivo,24,64,2,0.0,0.001,16,22,49985,0.14835599064826965,138809.8110860069,156000.41784974537,4.051509493001504,False
total,recursivo,12,32,2,0.2,0.001,16,25,12705,0.14526019990444183,141868.22038489344,157462.71306646543,3.8024514759999875,False
total,recursivo,12,64,2,0.2,0.001,16,23,49985,0.12275470793247223,126476.61481024585,167050.7949649681,3.9668854900010047,False
total,recursivo,24,32,1,0.2,0.001,16,24,4385,0.14620324969291687,125612.89658604153,167960.95803575337,3.0368546419995255,False
total,recursivo,12,32,1,0.2,0.001,16,24,4385,0.13532492518424988,131639.65991141193,174209.16146788502,2.9744178490000195,False
total,recursivo,24,64,1,0.0,0.001,16,21,16961,0.11563192307949066,121206.18120680244,176014.9149451221,2.826000445002137,False
total,recursivo,24,32,1,0.0,0.001,16,22,4385,0.10459955781698227,125401.23482277444,187605.47547787108,2.9881047359995137,False
total,recursivo,24,32,2,0.0,0.001,16,21,12705,0.1326865553855896,132368.19064256235,203844.18373493533,3.6213403250003466,False
total,recursivo,12,64,1,0.0,0.001,16,21,16961,0.11994639784097672,142715.51530440053,204735.37175849377,2.7555633320007473,False
total,recursivo,24,32,2,0.2,0.001,16,21,12705,0.1517801284790039,135029.1082740798,209332.82611687135,3.6922235950005415,False
total,recursivo,12,32,1,0.0,0.001,16,22,4385,0.110176682472229,144897.371625063,209462.89640929145,2.966750931998831,False
total,directo,24,64,2,0.0,0.001,16,42,54015,0.06825929135084152,97483.36501658696,130074.87522152624,4.359504330001073,True
total,directo,24,32,2,0.0,0.001,16,49,14751,0.06862479448318481,97416.06523513164,130281.76135237092,4.547560598999553,False
total,directo,24,32,1,0.2,0.001,16,44,6431,0.06372103095054626,106448.22972371374,130988.3803499763,3.217858887001057,False
total,directo,24,64,1,0.0,0.001,16,35,20991,0.0680781751871109,102052.37126686254,131626.40623073856,2.9757414470004733,False
total,directo,24,64,2,0.2,0.001,16,28,54015,0.058439452201128006,103742.9067854807,132213.40032534255,3.517781197999284,False
total,directo,12,64,1,0.0,0.001,16,41,20991,0.06665311008691788,102743.7330423762,135294.3655030575,3.0186204769997858,False
total,directo,12,64,2,0.0,0.001,16,38,54015,0.0659831166267395,106707.47392840545,135935.0313265738,3.574598518996936,False
total,directo,12,64,2,0.2,0.001,16,42,54015,0.06381338089704514,113290.54727025208,136494.38753412658,4.0062026560008235,False
total,directo,24,32,1,0.0,0.001,16,36,6431,0.06718285381793976,107685.9397173549,136506.84035684913,2.7820257819985272,False
total,directo,12,32,1,0.0,0.001,16,43,6431,0.06642600148916245,109561.29459725955,137980.81639771647,3.0569872870000836,False
total,directo,12,64,1,0.2,0.001,16,36,20991,0.06397783011198044,117144.30277022877,139286.91906189595,2.775239648999559,False
total,directo,24,32,2,0.2,0.001,16,55,14751,0.06611691415309906,120344.81363964488,139962.09613559695,5.5097208240003965,False
total,directo,12,32,1,0.2,0.001,16,44,6431,0.06427932530641556,117474.42666300153,140362.92359640487,3.067979382001795,False
total,directo,24,64,1,0.2,0.001,16,34,20991,0.06379374116659164,122905.44815865924,140893.59922196314,3.0030346720013767,False
total,directo,12,32,2,0.2,0.001,16,78,14751,0.06534696370363235,121516.01046145736,142228.97946724546,5.672258244998375,False
total,directo,12,32,2,0.0,0.001,16,32,14751,0.06417867541313171,125048.17055636171,149938.50183460006,3.130942375999439,False
