serie,modelo,order,aic,bic,mae,rmse,mape,mape_excluidos,mejor
total,sarima,"(2, 1, 2)",67.95529963657316,87.40916408835388,250722.71474027747,274289.5429602434,83.47718143153784,0,False
total,holt_winters,,,,196956.01087054316,216457.08404226322,65.30442096738007,0,False
total,ses,,,,175088.43650293106,194790.81178631884,58.11465732490818,0,True
total,seasonal_naive,,,,235730.91380951658,253203.387827612,83.86236241315198,0,False
total,prophet,,,,264527.1302262719,282313.47858946025,92.5026320176104,0,False
via_aerea,sarima,"(2, 1, 2)",169.7213921553177,186.39613311398688,73965.53218128067,77679.71676978437,77.57231130480487,0,False
via_aerea,holt_winters,,,,48043.41123931864,52231.07405376311,48.506215127872785,0,False
via_aerea,ses,,,,36108.52689360327,41367.771593564175,35.61669760226233,0,True
via_aerea,seasonal_naive,,,,75103.70007949528,79077.33476562955,80.57782599253824,0,False
via_aerea,prophet,,,,89053.97469049603,92265.91665400496,93.17211670842799,0,False
via_terrestre,sarima,"(0, 1, 1)",124.17946112416,132.59152425835978,174971.03182129905,192354.25965719597,88.63311349714253,0,False
via_terrestre,holt_winters,,,,148023.0534653102,164245.80071528998,73.91577608730265,0,False
via_terrestre,ses,,,,140428.4167148877,156309.51651045072,71.75108313630876,0,True
via_terrestre,seasonal_naive,,,,160013.00738081493,176652.99218092876,83.46934657839164,0,False
via_terrestre,prophet,,,,175767.2159055282,191876.71451669734,91.07457147619324,0,False
via_maritima,sarima,"(1, 2, 2)",498.3991765923261,515.0232843391201,858.3650793650794,1731.9296926600284,100.0,11,False
via_maritima,holt_winters,,,,858.3650793650794,1731.9296926600284,100.0,11,False
via_maritima,ses,,,,858.364994254056,1731.9296278437243,99.99997857114916,11,False
via_maritima,seasonal_naive,,,,858.3650793650794,1731.9296926600284,100.0,11,False
via_maritima,prophet,,,,783.7762756595165,1644.744398584982,86.11980997564476,11,True
pais_el_salvador,sarima,"(2, 1, 2)",400.6150731235724,420.06893757535306,113109.07231726525,123010.00247853188,97.70313719720963,0,False
pais_el_salvador,holt_winters,,,,101044.04984574484,111526.66769829922,81.0500783249397,0,False
pais_el_salvador,ses,,,,94064.1772134526,104530.77405372636,74.3185188329064,0,True
pais_el_salvador,seasonal_naive,,,,107474.0472580412,117633.3719518555,91.59870189188236,0,False
pais_el_salvador,prophet,,,,106743.65115246274,117497.93141541889,86.63636854487406,0,False
pais_estados_unidos,sarima,"(1, 1, 2)",367.1353712027079,381.0309886682656,42093.195182539035,45541.13685588897,88.56513233880075,0,False
pais_estados_unidos,holt_winters,,,,34195.19433185886,37642.050537754665,69.37443559679187,0,False
pais_estados_unidos,ses,,,,25114.619396520877,28953.077650495776,49.92605693791277,0,True
pais_estados_unidos,seasonal_naive,,,,41167.82827202809,44196.19771348546,88.19061345036599,0,False
pais_estados_unidos,prophet,,,,43686.12686518499,46869.97454819262,91.72906872055539,0,False
pais_honduras,sarima,"(2, 1, 2)",359.014701034254,375.73965149094624,21841.15736456237,24114.686665444686,90.16696739674829,0,False
pais_honduras,holt_winters,,,,18900.33052267127,21200.279806966737,74.16592124280479,0,False
pais_honduras,ses,,,,17240.39618497174,19587.092524060376,66.05195536750286,0,True
pais_honduras,seasonal_naive,,,,21189.895732345554,23244.17867306523,90.95301495185916,0,False
pais_honduras,prophet,,,,21238.611154204707,23497.47571624056,86.69901718151078,0,False
